Recipe,Multiplier
wax-to-lube-buffed,0.14037401787248352
ceramic,0.0027549780457645136
agal-alloy,0.000942056330818682
iron-stick,5.661751503673438e-05
rubber-from-oleochemicals,1.846788473327595
mold,1.549626366076857e-05
molten-steel-02,1.2453874477772537
bio-ore,0.15321540014372406
bio-sample,1.651040118488317
pressured-air,0.5177277464188283
caged-cottongut-4,0.0027275725416717844
adrenal-cortex,0.01594344040928648
full-render-trit-laser,0.7014324311528929
niobium-pipe,0.0010353522371443391
small-parts-01,1.4555702285059504e-06
glass-fiber,3.037641061683007e-06
full-molten-super-steel-3,0.0010409326809256946
antiviral,0.01992302847084797
gh,0.14612207147739792
sea-sponge,0.0008764638941998707
tuuphra-seeds,0.2743327300902003
navens-sample-with-vonix-gen,0.3323003403450717
seaweed-5-dry,3.650539228824005e-06
p-dope,0.040259083977806684
tin-plate-3,0.010592921443614862
hydrogen-chloride-2,0.5771355414424865
light-n,2.3904432967497504
nichrome,2.4043143686257296e-05
cadaveric-arum-3-msa,0.05356242688317607
tar-to-carbolic,64.76461142724489
grade-1-zinc,0.007727478182956772
starch-4,0.032802534067718235
yotoi-4-nutrient,1975.9719278949751
ralesia-seeds,0.10245097898466196
naphtha-to-syngas,1.8771496551639049
cyanic-acid-01,0.0007288497800973575
ref-to-light-oil,0.00026952398272286194
quantum-dots-folding-2,73.85118772646055
quantum-dots-folding-4,0.36536656431585357
washing-crude,1.79391302513128e-05
print-tendon-immunosupressants,0.01103527451361211
collagen,0.00030408323475898365
kerosene,0.00575668137135911
hotair-nickel-plate-3,8.523591802704297e-05
sub-denier-microfiber,1.818920724810744
tio2,0.05263922010636155
xyhiphoe-4-hot-cold,0.08869164017072037
auog-paddock-mk02-with-dirt,3.8932390268673376
he3-separation,0.010155900010262474
hotair-casting-drill-heads,1.1026532754887613e-08
pressured-water,0.00039081310649148826
psc-mutant,0.017867844994273675
hmas-pvp,0.0007207744215847781
bhoddos-4-exoenzymes,0.017529098077041585
geo-he-03,7.331917479512511
yotoi-to-chelator,0.0018001381346016436
vrauks-paddock-mk03-with-lamp,5.365181468983857e-09
programmable-speaker,0.041764230619268546
manure-4-mukmoux-turd,88.3905707895118
energy-drinkb,0.00019150384963106164
phadai-food-01,4.40451655627722e-08
phadai-food-02,9.569336976147396e-06
phadai-4,0.027604006135699126
fawogae-mk04-with-xeno-codex,0.062021157593944144
Phadai-Dance-Dance-Revolution-2-piezoelectric,0.00040345122518932664
ti-n,0.137159417190722
zinc-nanocompound,0.026611193477668674
pure-trichlorosilane,2.0544280209459225e-06
arsenic,0.235117916654208
plutonium-oxidation,0.000173926122944592
antimony-phosphate-2,0.048892399221955866
silver-nitrate,0.00656065740863293
polished-glass-surface,0.00010481089950303404
sb-pulp-02,0.00017209458573468484
fiberboard-3,4.006269959227919e-07
tier-4-chromite-sand,0.0027413950808903255
hardener,0.6685632231997726
cerium-oxide,21.738661869059396
polishing-wheel,161.89768504536397
py-sawblade-module-mk03,1.5092355091136156
full-molten-super-steel-2,0.08344472811662354
powdered-phosphate-rock,1.5191653113592698
acrylonitrile-3,0.00021144289990220478
phenol-3,1.0385669835921127
blood-meal,0.02218016494339965
molten-aluminium-05,6.654372006904618e-05
simik-boron,0.04995130067724653
glass-6,0.0007653403048462817
co2,0.05604559551165717
fuelrod-mk02,0.00015695025758115253
xyhiphoe-cub-4-acetone,2.6103975339046087e-05
chloroethanol,0.25080811238587514
erbium,0.03526791081044434
cobalt-fluoride,0.13105078722691577
laser-module-alt,0.00022608185369485837
ndfeb-powder,0.00010673497306178451
fiber-dry-storage,1.1146605328933925
ammonium-chloride,0.043368176021293225
carbon-sulfide,0.358216971820547
molten-lead-02,0.08056242720562135
molten-copper-04,7.297087028003762e-09
molybdenum-oxide,2.6491969950082432
cobalt-oxide,0.3355683710959057
enzyme-pks-nickel-carbonyl,13.226577904594606
alien-sample-03,2.2317491364283286e-06
kicalk-5-saline,1.9166955098602727e-05
